Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Defina Mecânica das Rochas.	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Explique Mecânica das Rochas em contexto de perfuração e produção de petróleo.	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Por que Mecânica das Rochas é importante na indústria petrolífera?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Cite uma aplicação prática de Mecânica das Rochas.	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
O que é Geomecânica?	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera.
Defina Geomecânica.	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera.
Explique Geomecânica em contexto de perfuração e produção de petróleo.	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera.
Por que Geomecânica é importante na indústria petrolífera?	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera.
Cite uma aplicação prática de Geomecânica.	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera.
O que é Juntas (Diáclases)?	Fracturação sem deslocamento perceptível dos blocos.
Defina Juntas (Diáclases).	Fracturação sem deslocamento perceptível dos blocos.
Explique Juntas (Diáclases) em contexto de perfuração e produção de petróleo.	Fracturação sem deslocamento perceptível dos blocos.
Por que Juntas (Diáclases) é importante na indústria petrolífera?	Fracturação sem deslocamento perceptível dos blocos.
Cite uma aplicação prática de Juntas (Diáclases).	Fracturação sem deslocamento perceptível dos blocos.
O que é Falhas?	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura.
Defina Falhas.	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura.
Explique Falhas em contexto de perfuração e produção de petróleo.	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura.
Por que Falhas é importante na indústria petrolífera?	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura.
Cite uma aplicação prática de Falhas.	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura.
O que é Dobras?	Deformação interna com flexão e encurtamento das camadas rochosas.
Defina Dobras.	Deformação interna com flexão e encurtamento das camadas rochosas.
Explique Dobras em contexto de perfuração e produção de petróleo.	Deformação interna com flexão e encurtamento das camadas rochosas.
Por que Dobras é importante na indústria petrolífera?	Deformação interna com flexão e encurtamento das camadas rochosas.
Cite uma aplicação prática de Dobras.	Deformação interna com flexão e encurtamento das camadas rochosas.
O que é Poro-pressão?	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout.
Defina Poro-pressão.	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout.
Explique Poro-pressão em contexto de perfuração e produção de petróleo.	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout.
Por que Poro-pressão é importante na indústria petrolífera?	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout.
Cite uma aplicação prática de Poro-pressão.	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout.
O que é Janela de perfuração segura?	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior).
Defina Janela de perfuração segura.	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior).
Explique Janela de perfuração segura em contexto de perfuração e produção de petróleo.	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior).
Por que Janela de perfuração segura é importante na indústria petrolífera?	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior).
Cite uma aplicação prática de Janela de perfuração segura.	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior).
O que é Sanding (produção de areia)?	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório.
Defina Sanding (produção de areia).	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório.
Explique Sanding (produção de areia) em contexto de perfuração e produção de petróleo.	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório.
Por que Sanding (produção de areia) é importante na indústria petrolífera?	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório.
Cite uma aplicação prática de Sanding (produção de areia).	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório.
O que é Critério de Mohr-Coulomb?	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento.
Defina Critério de Mohr-Coulomb.	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento.
Explique Critério de Mohr-Coulomb em contexto de perfuração e produção de petróleo.	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento.
Por que Critério de Mohr-Coulomb é importante na indústria petrolífera?	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento.
Cite uma aplicação prática de Critério de Mohr-Coulomb.	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento.
O que é SPT (Standard Penetration Test)?	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos.
Defina SPT (Standard Penetration Test).	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos.
Explique SPT (Standard Penetration Test) em contexto de perfuração e produção de petróleo.	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos.
Por que SPT (Standard Penetration Test) é importante na indústria petrolífera?	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos.
Cite uma aplicação prática de SPT (Standard Penetration Test).	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos.
O que é CPT (Cone Penetration Test)?	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência.
Defina CPT (Cone Penetration Test).	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência.
Explique CPT (Cone Penetration Test) em contexto de perfuração e produção de petróleo.	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência.
Por que CPT (Cone Penetration Test) é importante na indústria petrolífera?	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência.
Cite uma aplicação prática de CPT (Cone Penetration Test).	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência.
O que é Ensaio de carga em placa?	Teste de campo para determinar resposta à carga superficial e capacidade de carga local.
Defina Ensaio de carga em placa.	Teste de campo para determinar resposta à carga superficial e capacidade de carga local.
Explique Ensaio de carga em placa em contexto de perfuração e produção de petróleo.	Teste de campo para determinar resposta à carga superficial e capacidade de carga local.
Por que Ensaio de carga em placa é importante na indústria petrolífera?	Teste de campo para determinar resposta à carga superficial e capacidade de carga local.
Cite uma aplicação prática de Ensaio de carga em placa.	Teste de campo para determinar resposta à carga superficial e capacidade de carga local.
O que é Ensaio de consolidação?	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação.
Defina Ensaio de consolidação.	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação.
Explique Ensaio de consolidação em contexto de perfuração e produção de petróleo.	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação.
Por que Ensaio de consolidação é importante na indústria petrolífera?	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação.
Cite uma aplicação prática de Ensaio de consolidação.	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação.
O que é Arenito?	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade.
Defina Arenito.	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade.
Explique Arenito em contexto de perfuração e produção de petróleo.	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade.
Por que Arenito é importante na indústria petrolífera?	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade.
Cite uma aplicação prática de Arenito.	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade.
O que é Folhelho (Shale)?	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade.
Defina Folhelho (Shale).	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade.
Explique Folhelho (Shale) em contexto de perfuração e produção de petróleo.	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade.
